
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
66,66,2016-03-11,26-006,POR,@,GSW,L (-16),1,18:33,3,4,.750,0,0,,4,5,.800,2,7,9,3,0,0,3,0,10,10.6,-15,24.3
67,67,2016-03-12,26-007,POR,,ORL,W (+37),1,26:40,4,6,.667,0,0,,1,2,.500,2,9,11,3,0,0,1,4,9,9.6,+19,26.8
68,68,2016-03-14,26-009,POR,@,OKC,L (-34),1,23:07,2,6,.333,0,0,,4,4,1.000,5,3,8,1,0,1,2,0,8,8.4,-10,20.5
69,69,2016-03-17,26-012,POR,@,SAS,L (-8),1,28:26,3,8,.375,0,0,,6,9,.667,2,6,8,5,2,0,3,4,12,10.5,-4,32.0
70,70,2016-03-18,26-013,POR,@,NOP,W (+5),1,29:58,2,4,.500,0,0,,7,8,.875,0,6,6,4,0,0,2,3,11,10.0,+6,23.5
71,71,2016-03-20,26-015,POR,@,DAL,L (-12),1,31:44,5,9,.556,0,0,,4,9,.444,10,9,19,2,1,1,1,5,14,17.5,-20,45.8
72,72,2016-03-23,26-018,POR,,DAL,W (+6),1,26:37,5,9,.556,0,0,,0,0,,2,6,8,1,3,2,1,0,10,13.0,+2,31.0
73,73,2016-03-24,26-019,POR,@,LAC,L (-2),1,24:31,3,9,.333,0,0,,5,6,.833,1,5,6,0,2,2,3,3,11,6.9,-10,25.0
74,74,2016-03-26,26-021,POR,,PHI,W (+3),1,22:01,3,7,.429,0,0,,2,4,.500,5,5,10,1,1,0,0,5,8,8.2,+1,24.0
75,75,2016-03-28,26-023,POR,,SAC,W (+12),1,20:12,2,4,.500,0,0,,0,0,,0,3,3,3,1,0,2,3,4,2.8,+16,13.3
76,76,2016-03-31,26-026,POR,,BOS,W (+7),1,25:15,3,6,.500,0,0,,5,8,.625,3,3,6,4,0,0,1,1,11,11.2,-10,24.0
77,77,2016-04-02,26-028,POR,,MIA,W (+17),1,26:38,8,10,.800,0,0,,1,2,.500,0,8,8,5,2,1,1,4,17,18.8,+29,40.0
78,78,2016-04-03,26-029,POR,@,GSW,L (-25),1,19:20,4,6,.667,0,0,,0,0,,2,2,4,6,1,1,4,3,8,8.1,0,24.0
79,79,2016-04-05,26-031,POR,@,SAC,W (+8),1,27:14,4,9,.444,0,0,,4,4,1.000,6,3,9,3,0,3,0,6,12,14.2,-3,33.8
80,80,2016-04-06,26-032,POR,,OKC,W (+5),1,30:13,3,4,.750,0,0,,4,6,.667,1,5,6,7,2,1,1,4,10,14.8,+5,33.5
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
81,81,2016-04-09,26-035,POR,,MIN,L (-1),1,31:34,6,9,.667,0,0,,3,4,.750,2,13,15,2,1,2,0,1,15,19.4,+11,44.3
82,82,2016-04-13,26-039,POR,,DEN,W (+8),1,23:37,2,4,.500,0,0,,4,4,1.000,2,6,8,1,2,2,4,0,8,9.3,+6,25.5
